日付,レース場コード,レース場名,レース番号,選手枠番,選手ナンバー,レーサーID,レーサー名,年齢,体重,展示タイム,スタートタイミング,レースタイム,最終着順
2024-01-01,24,大村,7,5,5,4603,谷　川　　将　太,26,57,6.83,0.07,,3
2024-01-01,24,大村,7,6,6,5011,高　木　　圭　大,65,13,6.94,0.11,,4
2024-01-01,24,大村,8,1,1,4236,松　村　　　　敏,43,59,6.84,0.18,1.48.1,1
2024-01-01,24,大村,8,2,5,4315,山　崎　　昂　介,74,22,6.79,0.16,1.49.3,3
2024-01-01,24,大村,8,3,2,3906,飯　山　　晃　三,41,24,6.97,0.23,1.50.5,4
2024-01-01,24,大村,8,4,6,4004,山　本　　浩　輔,47,17,6.86,0.14,1.52.1,4
2024-01-01,24,大村,8,5,3,4822,百　武　　　　翔,30,31,6.91,0.21,,2
2024-01-01,24,大村,8,6,4,3501,川　上　　昇　平,50,12,6.9,0.18,,4
2024-01-01,24,大村,9,1,1,4924,中　北　　　　涼,76,39,6.83,0.14,1.48.3,4
2024-01-01,24,大村,9,2,5,5129,山　口　　真喜子,46,61,6.88,0.19,1.49.4,3
2024-01-01,24,大村,9,3,3,4088,野　田　　祥　子,13,70,6.83,0.23,1.51.3,1
2024-01-01,24,大村,9,4,2,5195,北　村　　寧　々,17,37,6.87,0.16,1.53.1,4
2024-01-01,24,大村,9,5,6,5250,嶋　田　　有　里,14,36,6.84,0.19,,4
2024-01-01,24,大村,9,6,4,5227,川　原　　愛　未,64,52,6.89,0.24,,2
2024-01-01,24,大村,10,1,1,3527,中　嶋　　誠一郎,32,20,6.87,0.01,1.48.2,1
2024-01-01,24,大村,10,2,2,4948,木　場　　悠　介,49,50,6.83,0.1,1.49.7,2
2024-01-01,24,大村,10,3,5,5086,本　村　　　　大,67,46,6.78,0.16,1.50.8,4
2024-01-01,24,大村,10,4,4,3843,上　之　　晃　弘,29,64,6.85,0.1,1.50.9,3
2024-01-01,24,大村,10,5,3,4241,大　串　　重　幸,72,32,6.85,0.18,,4
2024-01-01,24,大村,10,6,6,4981,牧　山　　敦　也,27,14,6.92,0.21,,4
2024-01-01,24,大村,11,1,4,4498,宮　本　　夏　樹,53,11,6.85,0.16,1.48.7,4
2024-01-01,24,大村,11,2,5,5048,眞　鳥　　康　太,28,58,6.86,0.17,1.50.3,4
2024-01-01,24,大村,11,3,1,3944,山　口　　裕　二,16,16,6.82,0.22,1.51.6,1
2024-01-01,24,大村,11,4,3,4919,吉　田　　翔　悟,23,62,6.82,0.24,1.52.3,3
2024-01-01,24,大村,11,5,6,4966,田　川　　大　貴,60,74,6.84,0.17,,2
2024-01-01,24,大村,11,6,2,4259,真　庭　　明　志,12,73,6.86,0.23,,4
2024-01-01,24,大村,12,1,1,4497,桑　原　　　　悠,15,76,6.84,0.12,1.47.8,1
2024-01-01,24,大村,12,2,4,4352,下　條　　雄太郎,39,19,6.87,0.2,1.49.0,4
2024-01-01,24,大村,12,3,2,4096,石　橋　　道　友,21,56,6.79,0.18,1.49.7,2
2024-01-01,24,大村,12,4,3,4236,松　村　　　　敏,43,59,6.87,0.14,1.51.0,4
2024-01-01,24,大村,12,5,5,4171,榎　　　　幸　司,35,75,6.88,0.26,,4
2024-01-01,24,大村,12,6,6,4715,村　上　　　　遼,38,48,6.86,0.18,,3
2024-01-01,24,大村,1,1,1,4932,新　開　　　　航,22,33,6.63,0.12,1.45.2,2
2024-01-01,24,大村,1,2,3,3804,中　渡　　修　作,23,29,6.73,0.13,1.49.5,4
2024-01-01,24,大村,1,3,2,3434,松　尾　　宣　邦,36,28,6.75,0.14,1.51.3,4
2024-01-01,24,大村,1,4,6,4346,前　田　　健太郎,11,51,6.79,0.21,1.52.3,4
2024-01-01,24,大村,1,5,4,5008,羽　野　　　　諒,38,37,6.73,0.19,,1
2024-01-01,24,大村,1,6,5,5286,坂　井　　滉　哉,44,50,6.71,0.21,,3
2024-01-01,24,大村,2,3,6,4588,田　中　　京　介,24,15,6.68,0.23,1.51.2,4
2024-01-01,24,大村,2,4,2,4355,小　川　　広　大,10,24,6.72,0.23,1.52.3,3
2024-01-01,24,大村,2,5,3,3741,松　尾　　基　成,64,13,6.66,0.21,,1
2024-01-01,24,大村,3,1,1,4189,川　上　　　　剛,20,27,6.67,0.2,1.48.2,2
2024-01-01,24,大村,3,2,5,3514,山　一　　鉄　也,33,36,6.68,0.1,1.49.0,4
2024-01-01,24,大村,3,3,3,4451,松　崎　　祐太郎,19,19,6.71,0.12,1.50.3,4
2024-01-01,24,大村,3,4,2,4368,山　口　　隆　史,39,52,6.7,0.14,1.51.5,1
2024-01-01,24,大村,3,5,6,5012,加　倉　　侑　征,15,47,6.73,0.11,,3
2024-01-01,24,大村,3,6,4,4406,幸　野　　史　明,59,66,6.66,0.09,,4
2024-01-01,24,大村,4,1,4,5207,高　山　　敬　悟,62,58,6.72,0.14,1.48.2,2
2024-01-01,24,大村,4,3,1,4522,古　澤　　光　紀,25,31,6.69,0.22,1.51.0,4
2024-01-01,24,大村,4,4,2,4551,三　川　　昂　暁,49,48,6.74,0.22,1.52.7,4
2024-01-01,24,大村,4,5,6,5268,山　本　　幸　也,65,38,6.77,0.27,,4
2024-01-01,24,大村,4,6,3,5073,上　原　　健次郎,32,64,6.73,0.26,,3
2024-01-01,24,大村,5,1,1,3783,瓜　生　　正　義,56,61,6.66,0.13,1.47.2,1
2024-01-01,24,大村,5,3,6,4506,稗　田　　聖　也,45,25,6.7,0.16,1.50.4,4
2024-01-01,24,大村,5,4,4,3804,中　渡　　修　作,23,29,6.71,0.08,1.51.9,3
2024-01-01,24,大村,5,5,3,4094,中　島　　真　二,12,20,6.68,0.18,,2
2024-01-01,24,大村,5,6,2,4367,山　口　　修　路,29,39,6.69,0.18,,4
2024-01-01,24,大村,6,1,4,3523,寳　田　　亮　治,18,34,6.75,0.09,1.48.0,4
2024-01-01,24,大村,6,2,5,4364,池　永　　　　太,21,11,6.66,0.08,1.48.9,4
2024-01-01,24,大村,6,3,2,4684,楠　原　　翔　太,52,18,6.7,0.1,1.50.9,3
2024-01-01,24,大村,6,4,3,5008,羽　野　　　　諒,38,37,6.73,0.12,1.52.8,4
2024-01-01,24,大村,6,5,6,5274,城　間　　盛　渚,16,73,6.74,0.17,,1
2024-01-01,24,大村,6,6,1,4355,小　川　　広　大,10,24,6.69,0.09,,2
2024-01-01,24,大村,7,1,1,3703,鳥　飼　　　　眞,46,56,6.75,0.12,1.48.5,1
2024-01-01,24,大村,7,2,3,5012,加　倉　　侑　征,15,47,6.79,0.16,1.49.4,4
2024-01-01,24,大村,7,3,5,4395,下　河　　雅　史,40,70,6.71,0.17,1.50.4,3
2024-01-01,24,大村,7,5,6,5286,坂　井　　滉　哉,44,50,6.72,0.21,,4
2024-01-01,24,大村,7,6,4,3741,松　尾　　基　成,64,13,6.75,0.16,,2
2024-01-01,24,大村,8,1,1,4121,富　永　　修　一,14,69,6.7,0.09,1.46.9,1
2024-01-01,24,大村,8,2,5,4522,古　澤　　光　紀,25,31,6.65,0.12,1.48.5,3
2024-01-01,24,大村,8,4,2,3514,山　一　　鉄　也,33,36,6.7,0.16,1.51.9,4
2024-01-01,24,大村,8,5,6,3444,香　月　　大　介,63,43,6.66,0.08,,4
2024-01-01,24,大村,8,6,4,5268,山　本　　幸　也,65,38,6.72,0.18,,4
2024-01-01,24,大村,9,2,3,4588,田　中　　京　介,24,15,6.75,0.17,1.49.3,1
2024-01-01,24,大村,9,3,2,3574,大　神　　康　司,54,53,6.79,0.19,1.51.4,4
2024-01-01,24,大村,9,4,4,3434,松　尾　　宣　邦,36,28,6.78,0.13,1.52.3,2
2024-01-01,24,大村,9,5,5,5073,上　原　　健次郎,32,64,6.75,0.16,,3
2024-01-01,24,大村,10,1,2,3783,瓜　生　　正　義,56,61,6.67,0.25,1.47.8,2
2024-01-01,24,大村,10,2,4,4189,川　上　　　　剛,20,27,6.69,0.17,1.49.3,3
2024-01-01,24,大村,10,4,6,4451,松　崎　　祐太郎,19,19,6.71,0.16,1.52.0,4
2024-01-01,24,大村,10,5,5,4551,三　川　　昂　暁,49,48,6.7,0.13,,4
2024-01-01,24,大村,10,6,3,5207,高　山　　敬　悟,62,58,6.7,0.38,,4
2024-01-01,24,大村,11,1,1,3523,寳　田　　亮　治,18,34,6.78,0.14,1.47.4,1
2024-01-01,24,大村,11,3,4,4932,新　開　　　　航,22,33,6.64,0.09,1.50.6,4
2024-01-01,24,大村,11,4,5,4368,山　口　　隆　史,39,52,6.77,0.14,1.51.9,4
2024-01-01,24,大村,11,5,6,4640,山ノ内　　雅　人,47,71,6.78,0.13,,2
2024-01-01,24,大村,11,6,3,4395,下　河　　雅　史,40,70,6.76,0.13,,3
2024-01-01,24,大村,12,1,1,4364,池　永　　　　太,21,11,6.64,0.08,1.47.2,1
2024-01-01,24,大村,12,2,4,4424,松　尾　　昂　明,13,17,6.59,0.08,1.48.5,4
2024-01-01,24,大村,12,3,2,4506,稗　田　　聖　也,45,25,6.66,0.1,1.49.5,2
2024-01-01,24,大村,12,4,3,4684,楠　原　　翔　太,52,18,6.72,0.08,1.50.7,4
2024-01-01,24,大村,1,1,1,5104,山　田　　　　丈,51,50,6.83,0.08,1.49.0,2
2024-01-01,24,大村,1,2,2,5192,中　尾　　優　香,15,28,6.9,0.07,1.52.0,4
2024-01-01,24,大村,1,3,3,5210,藤　井　　公　人,24,30,6.81,0.16,1.53.2,4
2024-01-01,24,大村,1,4,5,5193,米　丸　　乃　絵,26,72,6.9,0.19,1.54.5,3
2024-01-01,24,大村,1,5,4,5148,松　本　　　　怜,53,46,6.9,0.17,,1
2024-01-01,24,大村,2,1,2,4180,上　野　　秀　和,31,75,6.93,0.18,1.50.0,3
2024-01-01,24,大村,2,2,3,4155,長　野　　壮志郎,48,25,6.86,0.11,1.52.2,1
2024-01-01,24,大村,2,3,6,4632,長　尾　　京志郎,45,65,6.88,0.18,1.53.0,4
2024-01-01,24,大村,2,4,1,5155,内　山　　七　海,12,39,6.87,0.17,1.54.3,2
2024-01-01,24,大村,2,5,4,4549,小　林　　文　彦,59,49,6.87,0.23,,4
2024-01-01,24,大村,2,6,5,4874,池　田　　奈津美,13,15,6.99,0.15,,4
2024-01-01,24,大村,3,3,5,5102,原　田　　雄　次,55,11,6.93,0.19,1.53.2,4
2024-01-01,24,大村,3,4,4,4958,溝　口　　海義也,10,64,6.88,0.18,1.54.6,4
2024-01-01,24,大村,3,5,6,5330,安河内　　鈴之介,43,51,6.88,0.15,,3
2024-01-01,24,大村,3,6,3,4046,谷　村　　啓　司,36,18,6.84,0.26,,4
2024-01-01,24,大村,4,1,5,4287,今　井　　貴　士,38,19,6.95,0.14,1.50.3,1
2024-01-01,24,大村,4,2,2,4413,水　摩　　　　敦,49,37,6.91,0.11,1.50.8,4
2024-01-01,24,大村,4,3,3,3662,大　庭　　元　明,28,23,6.86,0.12,1.51.7,3
2024-01-01,24,大村,4,4,6,4789,古　賀　　智　之,46,45,6.85,0.17,1.54.0,4
2024-01-01,24,大村,4,5,4,4349,犬　童　　千　秋,50,42,6.89,0.16,,2
2024-01-01,24,大村,4,6,1,4866,橋　本　　英　一,23,73,6.95,0.11,,4
2024-01-01,24,大村,5,1,1,4296,岡　崎　　恭　裕,40,36,6.9,0.12,1.50.8,1
2024-01-01,24,大村,5,2,3,4679,植　田　　太　一,54,71,6.91,0.13,1.51.5,2
2024-01-01,24,大村,5,3,4,4402,乙　藤　　智　史,20,63,6.89,0.17,1.52.4,3
2024-01-01,24,大村,5,5,5,5258,仲　本　　　　舜,42,59,6.95,0.16,,4
2024-01-01,24,大村,5,6,6,5203,神　里　　琴　音,29,66,6.87,0.13,,4
2024-01-01,24,大村,6,1,6,3919,村　上　　　　純,57,48,6.96,0.09,1.51.1,1
2024-01-01,24,大村,6,2,5,4148,枝　尾　　　　賢,34,24,6.9,0.14,1.52.4,4
2024-01-01,24,大村,6,3,1,3352,小　川　　晃　司,60,62,6.99,0.11,1.54.3,2
2024-01-01,24,大村,6,5,2,4549,小　林　　文　彦,59,49,6.94,0.15,,3
2024-01-01,24,大村,7,2,5,4371,西　山　　貴　浩,41,33,6.96,0.17,1.50.9,3
2024-01-01,24,大村,7,3,4,4100,松　田　　隆　司,21,27,6.94,0.15,1.51.6,2
2024-01-01,24,大村,7,4,2,4046,谷　村　　啓　司,36,18,6.86,0.19,1.54.1,4
2024-01-01,24,大村,7,5,3,4079,出　畑　　孝　典,16,74,6.87,0.18,,4
2024-01-01,24,大村,7,6,6,4252,松　下　　哲　也,19,22,6.95,0.21,,4
2024-01-01,24,大村,8,1,1,4848,仲　谷　　颯　仁,56,38,6.84,0.03,1.49.4,1
2024-01-01,24,大村,8,2,2,3662,大　庭　　元　明,28,23,6.89,0.0,1.51.2,4
2024-01-01,24,大村,8,4,6,5162,松　尾　　怜　実,39,12,6.88,0.07,1.54.7,4
2024-01-01,24,大村,9,3,3,5144,中　尾　　彩　香,18,14,6.91,0.11,1.59.1,1
2024-01-01,24,大村,9,4,2,4314,青　木　　幸太郎,27,54,6.85,0.16,2.01.2,4
2024-01-01,24,大村,9,5,6,4487,三　原　　　　司,37,52,6.9,0.15,,4
2024-01-01,24,大村,10,1,4,4148,枝　尾　　　　賢,34,24,6.92,0.12,1.50.7,3
2024-01-01,24,大村,10,2,1,4413,水　摩　　　　敦,49,37,6.9,0.16,1.51.7,1
2024-01-01,24,大村,10,4,2,4402,乙　藤　　智　史,20,63,6.88,0.21,1.54.3,2
2024-01-01,24,大村,10,5,6,5192,中　尾　　優　香,15,28,6.91,0.11,,4
2024-01-01,24,大村,10,6,3,4180,上　野　　秀　和,31,75,6.92,0.2,,4
2024-01-01,24,大村,11,1,1,4155,長　野　　壮志郎,48,25,6.8,0.16,1.49.9,1
2024-01-01,24,大村,11,2,5,4296,岡　崎　　恭　裕,40,36,6.91,0.12,1.51.9,4
2024-01-01,24,大村,11,4,6,4958,溝　口　　海義也,10,64,6.91,0.18,1.54.5,2
2024-01-01,24,大村,11,5,3,4866,橋　本　　英　一,23,73,6.94,0.13,,3
2024-01-01,24,大村,11,6,2,3919,村　上　　　　純,57,48,7.0,0.18,,4
2024-01-01,24,大村,12,1,1,4349,犬　童　　千　秋,50,42,6.87,0.17,1.50.8,1
2024-01-01,24,大村,12,3,2,4874,池　田　　奈津美,13,15,6.99,0.15,1.53.2,2
2024-01-01,24,大村,12,4,3,5162,松　尾　　怜　実,39,12,6.91,0.16,1.54.3,4
2024-01-01,24,大村,12,5,6,5148,松　本　　　　怜,53,46,6.9,0.15,,3
2024-01-01,24,大村,12,6,5,5203,神　里　　琴　音,29,66,6.86,0.14,,4
2024-01-01,24,大村,1,1,1,5231,寺　田　　空　詩,12,35,6.81,0.08,1.48.7,2
2024-01-01,24,大村,1,2,3,4846,佐　藤　　駿　介,52,34,6.81,0.14,1.50.6,4
2024-01-01,24,大村,1,3,2,2930,新　良　　一　規,58,36,6.77,0.13,1.51.6,4
2024-01-01,24,大村,1,4,6,4396,大　田　　直　弥,53,17,6.82,0.14,1.52.3,4
2024-01-01,24,大村,1,5,5,3709,田　中　　浩　之,28,24,6.82,0.15,,3
2024-01-01,24,大村,1,6,4,3708,岡　部　　貴　司,36,22,6.89,0.13,,1
2024-01-01,24,大村,2,1,1,5146,野　田　　彩　加,31,25,6.8,0.1,1.48.7,2
2024-01-01,24,大村,2,2,2,4890,石　川　　　　諒,44,33,6.81,0.04,1.50.8,3
2024-01-01,24,大村,2,3,3,4158,木　場　　雄二郎,71,21,6.8,0.1,1.51.5,1
2024-01-01,24,大村,2,4,5,4782,浜　崎　　準　也,72,68,6.79,0.08,1.52.8,4
2024-01-01,24,大村,2,5,4,3875,廣　中　　良　一,21,53,6.88,0.11,,4
2024-01-01,24,大村,2,6,6,5336,瀬　川　　大　地,64,41,6.83,0.11,,4
2024-01-01,24,大村,3,1,1,5152,丸　山　　祐　也,63,18,6.78,0.07,1.49.0,2
2024-01-01,24,大村,3,2,5,4324,海　野　　康志郎,46,69,6.74,0.16,1.50.7,4
2024-01-01,24,大村,3,3,2,4007,榮　田　　将　彦,48,65,6.78,0.09,1.51.1,1
2024-01-01,24,大村,3,4,4,4574,東　　　　潤　樹,20,55,6.83,0.17,1.51.5,4
2024-01-01,24,大村,3,5,3,4425,大　井　　清　貴,56,67,6.77,0.16,,4
2024-01-01,24,大村,3,6,6,4985,井　本　　昌　也,51,12,6.83,0.21,,3
2024-01-01,24,大村,4,1,2,4601,森　野　　正　弘,43,61,6.76,0.06,1.48.0,4
2024-01-01,24,大村,4,2,3,4009,小　林　　一　樹,42,28,6.82,0.11,1.49.9,3
2024-01-01,24,大村,4,3,4,4871,菊　池　　宏　志,25,64,6.82,0.15,1.51.4,2
2024-01-01,24,大村,4,4,5,4251,川　崎　　誠　志,33,71,6.8,0.12,1.52.2,1
2024-01-01,24,大村,4,5,1,5158,宮　脇　　遼　太,67,45,6.84,0.14,,4
2024-01-01,24,大村,4,6,6,4017,向　井　　美　鈴,70,51,6.79,0.11,,4
2024-01-01,24,大村,5,1,1,4443,津　田　　裕　絵,41,40,6.84,0.14,1.47.9,1
2024-01-01,24,大村,5,2,5,3961,谷　村　　一　哉,19,30,6.78,0.15,1.48.9,4
2024-01-01,24,大村,5,3,3,4005,瀬　川　　公　則,16,23,6.81,0.12,1.50.8,2
2024-01-01,24,大村,5,4,6,4064,原　田　　篤　志,45,57,6.8,0.16,1.51.1,4
2024-01-01,24,大村,5,5,4,5083,柳　瀬　　幹　太,26,13,6.88,0.18,,3
2024-01-01,24,大村,5,6,2,5027,重　冨　　勇　哉,54,72,6.76,0.13,,4
2024-01-01,24,大村,6,1,1,3851,森　田　　昭　彦,65,70,6.81,0.18,1.49.0,2
2024-01-01,24,大村,6,2,6,4361,柳　生　　泰　二,13,54,6.81,0.11,1.50.1,1
2024-01-01,24,大村,6,3,4,5000,岡　本　　翔太郎,68,16,6.77,0.07,1.51.4,4
2024-01-01,24,大村,6,4,2,4014,片　岡　　恵　里,61,58,6.74,0.13,1.52.3,3
2024-01-01,24,大村,6,5,5,3711,江　本　　真　治,49,73,6.82,0.09,,4
2024-01-01,24,大村,6,6,3,3731,高　濱　　芳　久,57,62,6.74,0.16,,4
2024-01-01,24,大村,7,1,1,5031,渡　辺　　空　依,17,32,6.75,0.12,1.48.8,1
2024-01-01,24,大村,7,2,2,4567,上　村　　慎太郎,18,46,6.72,0.18,1.49.9,4
2024-01-01,24,大村,7,3,6,3942,寺　田　　　　祥,40,19,6.81,0.31,1.51.2,4
2024-01-01,24,大村,7,4,3,5146,野　田　　彩　加,31,25,6.8,0.23,1.52.4,4
2024-01-01,24,大村,7,5,4,5067,山　田　　真　聖,55,47,6.86,0.22,,2
2024-01-01,24,大村,7,6,5,3581,加　木　　　　郁,14,20,6.9,0.22,,3
2024-01-01,24,大村,8,1,1,4817,渡　邉　　　　翼,47,11,6.78,0.16,1.48.9,1
2024-01-01,24,大村,8,2,2,4574,東　　　　潤　樹,20,55,6.85,0.13,1.49.7,4
2024-01-01,24,大村,8,3,5,4007,榮　田　　将　彦,48,65,6.81,0.08,1.51.4,3
2024-01-01,24,大村,8,4,3,4592,小　林　　孝　弘,29,56,6.8,0.08,1.52.2,2
2024-01-01,24,大村,8,5,4,5145,島　川　　海　輝,50,38,6.77,0.16,,4
2024-01-01,24,大村,8,6,6,5123,福　山　　恵里奈,22,63,6.83,0.09,,4
2024-01-01,24,大村,9,1,1,4064,原　田　　篤　志,45,57,6.75,0.11,1.48.2,4
2024-01-01,24,大村,9,2,2,4324,海　野　　康志郎,46,69,6.73,0.11,1.50.2,4
2024-01-01,24,大村,9,3,3,4601,森　野　　正　弘,43,61,6.73,0.13,1.50.9,1
2024-01-01,24,大村,9,4,4,4425,大　井　　清　貴,56,67,6.78,0.16,1.52.7,2
2024-01-01,24,大村,9,5,5,2930,新　良　　一　規,58,36,6.83,0.21,,3
2024-01-01,24,大村,9,6,6,4005,瀬　川　　公　則,16,23,6.79,0.15,,4
2024-01-01,24,大村,10,1,1,4361,柳　生　　泰　二,13,54,6.8,0.07,1.48.6,1
2024-01-01,24,大村,10,2,2,3961,谷　村　　一　哉,19,30,6.81,0.11,1.49.3,2
2024-01-01,24,大村,10,3,4,4009,小　林　　一　樹,42,28,6.77,0.11,1.50.4,3
2024-01-01,24,大村,10,4,3,3708,岡　部　　貴　司,36,22,6.76,0.11,1.52.1,4
2024-01-01,24,大村,10,5,6,4443,津　田　　裕　絵,41,40,6.84,0.22,,4
2024-01-01,24,大村,10,6,5,4846,佐　藤　　駿　介,52,34,6.83,0.23,,4
2024-01-01,24,大村,11,1,1,3942,寺　田　　　　祥,40,19,6.76,0.16,1.48.2,1
2024-01-01,24,大村,11,2,6,3731,高　濱　　芳　久,57,62,6.84,0.11,1.49.4,2
2024-01-01,24,大村,11,3,3,4817,渡　邉　　　　翼,47,11,6.77,0.09,1.51.1,3
2024-01-01,24,大村,11,4,2,3711,江　本　　真　治,49,73,6.82,0.13,1.51.2,4
2024-01-01,24,大村,11,5,4,4158,木　場　　雄二郎,71,21,6.84,0.12,,4
2024-01-01,24,大村,12,1,1,4985,井　本　　昌　也,51,12,6.83,0.11,1.48.2,1
2024-01-01,24,大村,12,2,2,4251,川　崎　　誠　志,33,71,6.79,0.17,1.50.0,2
2024-01-01,24,大村,12,3,6,4890,石　川　　　　諒,44,33,6.81,0.12,1.50.8,3
2024-01-01,24,大村,12,4,5,4567,上　村　　慎太郎,18,46,6.79,0.24,1.52.6,4
2024-01-01,24,大村,12,5,4,5231,寺　田　　空　詩,12,35,6.79,0.1,,4
2024-01-01,24,大村,12,6,3,5152,丸　山　　祐　也,63,18,6.77,0.14,,4
2024-01-01,24,大村,1,1,1,4980,佐々木　　完　太,25,21,6.86,0.06,1.49.3,2
2024-01-01,24,大村,1,2,3,4234,野　相　　弘　司,70,74,6.9,0.12,1.52.3,4
2024-01-01,24,大村,1,3,2,5101,表　　　　健　太,63,72,6.86,0.15,1.53.3,4
2024-01-01,24,大村,1,4,5,5032,谷　口　　知　優,42,35,6.88,0.16,1.54.1,3
2024-01-01,24,大村,1,5,4,3878,胡　本　　悟　志,20,59,6.92,0.24,,1
2024-01-01,24,大村,1,6,6,5181,森　　　　智　哉,62,15,6.92,0.13,,4
2024-01-01,24,大村,2,1,2,5170,佐　藤　　太　亮,39,37,6.91,0.22,1.50.4,3
2024-01-01,24,大村,2,2,4,4237,大　峯　　　　豊,54,58,6.87,0.16,1.51.6,4
2024-01-01,24,大村,2,3,5,3710,吉　永　　泰　弘,36,75,6.97,0.18,1.52.5,4
2024-01-01,24,大村,2,4,1,4264,長　尾　　章　平,43,34,6.94,0.22,1.53.9,2
2024-01-01,24,大村,2,5,6,4703,森　永　　　　隆,52,45,6.95,0.2,,4
2024-01-01,24,大村,2,6,3,4323,山　田　　佑　樹,60,69,6.94,0.2,,1
2024-01-01,24,大村,3,1,1,3158,島　川　　光　男,15,17,6.87,0.18,1.50.0,2
2024-01-01,24,大村,3,2,3,3661,柳　瀬　　興　志,16,56,6.85,0.23,1.51.1,4
2024-01-01,24,大村,3,3,6,4239,竹　田　　辰　也,34,52,6.82,0.18,1.51.6,3
2024-01-01,24,大村,3,4,4,5106,山　崎　　　　祥,44,51,6.88,0.28,1.54.0,4
2024-01-01,24,大村,3,5,5,5238,笹　木　　香　吾,11,14,6.84,0.18,,4
2024-01-01,24,大村,3,6,2,3568,木　村　　光　宏,53,71,6.87,0.17,,1
2024-01-01,24,大村,4,1,1,4015,前　野　　竜　一,35,48,6.89,0.21,1.50.6,4
